Dates,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic EPS,EPS - Earnings Per Share,Sales percentage,Brand loyalty score
30-09-2012,"$10,986","$6,790","$2,464",$0,"$5,051","$25,291",$0,$911,"$7,115",$91.34,"$10,024","$37,309","$19,710","$4,789",$86.34,"$6,106","$25,815",$308,"$4,743",$0,"$6,784","$11,494","$37,309","$9,486","$6,567","$2,919","$1,400","$1,812",$0,"$3,212",$-293.79,$-118.88,$-839.68,$340,"$-1,180.06",$0.00,"$-1,235.69",$0.00,"$-1,235.69",$-293.79,$-293.79,$-0.34,$-0.34,44.02,0.18
31-12-2012,"$9,497","$7,139","$1,978",$0,"$8,237","$26,851",$0,$961,"$7,103",$149,"$9,826","$38,517","$18,836","$6,542",$88.74,"$7,531","$26,368",$316,"$5,138",$0,"$6,931","$12,150","$38,517","$10,708","$7,074","$3,634","$1,452","$2,505",$0,"$3,957",$-322.71,"$1,108",$495,$162,$333,$0.00,$269,$0.00,$269,$-322.71,$-322.71,$0.07,$0.07,63.15,0.18
31-03-2013,"$13,780","$6,046","$2,037","$4,084",$0,"$25,998","$1,831","$1,033","$7,142",$193,"$12,066","$38,064","$20,088","$4,597",$626,"$6,122","$26,211",$325,"$4,926",$0,"$5,202","$11,854","$38,064","$7,730","$5,301","$2,429","$1,335","$1,063",$-228.52,"$2,627",$-198.13,$-141.34,$-339.47,$108,$-447.79,$0,$-447.79,$0,$-359.28,$-198.13,$-198.13,$-0.09,$-0.09,49.1,0.18
30-06-2013,"$12,753","$4,948","$1,854","$3,813",$0,"$23,430","$1,745","$1,042","$6,767",$219,"$11,237","$34,668","$17,972","$4,407",$525,"$5,429","$23,400",$321,"$4,571",$0,"$5,060","$11,267","$34,668","$7,437","$4,947","$2,490","$1,269","$1,026",$-344.76,"$2,641",$-150.18,$-78.35,$-228.53,$135,$-363.04,$0,$-363.04,$0,$-296.44,$-150.18,$-150.18,$-0.08,$-0.08,48.84,0.18
30-09-2013,"$12,520","$4,924","$1,987","$3,795",$0,"$23,286","$1,542","$1,088","$6,835",$183,"$11,275","$34,560","$18,464","$6,225",$506,"$6,968","$25,432",$326,"$3,448",$0,"$5,070","$9,129","$34,560","$7,500","$5,123","$2,378","$1,180",$990,$-51.66,"$2,222",$156,$-80.81,$75.51,$213,$-137.77,$0,$-137.77,$0,$-120.55,$156,$156,$-0.03,$-0.03,50.73,0.18
31-12-2013,"$12,295","$3,853","$1,068",$877,$194,"$18,325",$752,"$1,071","$4,770",$132,"$15,136","$33,461","$12,552","$4,365","$7,438","$12,062","$24,615",$327,"$3,428",$0,"$4,820","$8,846","$33,461","$-5,786.09","$-5,588.53",$-197.56,$-306.26,$-859.72,$-87.03,"$-1,078.95",$881,$-66.11,$815,$-187.78,"$1,003",$0,"$1,003",$0,$-40.63,$881,$881,$-0.03,$-0.03,51.08,0.18
31-03-2014,"$9,615","$3,920","$1,283",$900,$218,"$15,977",$748,"$1,090","$4,898",$119,"$15,241","$31,219","$10,727","$4,417","$7,327","$11,895","$22,620",$337,"$3,206",$0,"$4,743","$8,599","$31,219","$3,651","$1,984","$1,667",$807,$524,$-4.11,"$1,335",$332,$-101.42,$230,$79.49,$151,$0,$151,$-464.60,$-327.55,$332,$332,$-0.08,$-0.08,41.7,0.18
30-06-2014,"$12,534","$4,237","$1,608","$1,424",$198,"$20,013",$779,"$1,044","$4,960",$115,"$8,404","$28,417","$11,297","$3,339",$328,"$7,030","$18,327",$337,"$4,833",$0,"$4,959","$10,090","$28,417","$4,036","$2,261","$1,775",$796,$532,$-56.24,"$1,384",$391,$-364.90,$24.69,$60.36,$-35.67,$0,$-35.67,"$3,480","$3,443",$391,$391,$0.93,$0.84,34.95,0.18
30-09-2014,"$10,460","$4,334","$1,765","$1,444",$172,"$18,183",$889,"$1,124","$3,755",$99.52,"$9,542","$27,726","$9,781","$3,341",$399,"$6,912","$16,692",$326,"$5,671",$0,"$5,389","$11,033","$27,726","$4,411","$2,449","$1,961",$831,$536,$-63.69,"$1,430",$531,"$-1,637.40","$-1,106.64","$-2,115.08","$1,008",$0,"$1,008",$-13.27,$991,$531,$531,$0.27,$0.25,30.03,0.18
31-12-2014,"$10,609","$4,559","$1,695","$1,214",$165,"$18,243",$952,"$1,168","$3,872",$102,"$9,756","$27,999","$9,688","$3,424",$400,"$6,787","$16,475",$327,"$6,261",$0,"$5,588","$11,524","$27,999","$4,827","$2,735","$2,092",$880,$580,$-51.42,"$1,512",$580,$-44.44,$537,$104,$433,$0,$433,$61.65,$495,$580,$580,$0.13,$0.12,26.27,0.18
